"slug";"name";"family";"subFamily";"primaryApplication";"primaryConfidence";"secondaryApplication";"secondaryConfidence";"status";"primaryRationale";"secondaryRationale";"recordUrl"
"arneo-light";"ArNeo Light";"ArNeo";"arneo";"hivis";"97";"";"0";"resolved";"Explicitly categorized and described as a fluorescent hi-vis warp knit fabric for safety jackets, with clear application labeling as high-visibility safety jacket fabric.";"";"/ariteks/fabrics/arneo-light/data/fabric-complete-record.json"
"arneo-light-r50";"ArNeo Light + R50";"ArNeo";"arneo";"hivis";"97";"";"0";"resolved";"Fabric is explicitly categorized as hi-vis warp knit for safety jackets, with explicit 'Safety Jacket' application field and hi-vis imagery, making high-visibility apparel the clear primary use.";"";"/ariteks/fabrics/arneo-light-r50/data/fabric-complete-record.json"
"arneo-light-r400";"ArNeo Light +R400";"ArNeo";"arneo";"hivis";"97";"";"0";"resolved";"Fabric is explicitly categorized as a hi-vis warp knit safety jacket fabric with EN ISO 20471 certified reflective strips, directly matching the hi-vis application.";"";"/ariteks/fabrics/arneo-light-r400/data/fabric-complete-record.json"
"arneo-color-light";"ArNeo Color Light";"ArNeo";"arneo";"hivis";"97";"";"0";"resolved";"Product is explicitly categorized as a hi-vis warp knit fabric used as bias tape for safety jackets, a direct high-visibility apparel application.";"";"/ariteks/fabrics/arneo-color-light/data/fabric-complete-record.json"
"arshirt-neo";"ArShirt Neo";"ArShirt";"arshirt-arsuprem";"hivis";"95";"";"0";"resolved";"The fabric is explicitly categorized and marketed as a high-visibility warp knit fabric with fluorescent coloring, intended for safety garments such as hi-vis T-shirts.";"";"/ariteks/fabrics/arshirt-neo/data/fabric-complete-record.json"
"arshirt";"ArShirt";"ArShirt";"arshirt-arsuprem";"hivis";"88";"";"0";"resolved";"The fabric is explicitly categorized as a hi-vis warp knit intended for safety jackets, with hi-vis listed as a core property and the family descriptor confirming shirting knits for high-visibility apparel.";"";"/ariteks/fabrics/arshirt/data/fabric-complete-record.json"
"arshirt-static-pro";"ArShirt Static Pro";"ArShirt";"arwowear-static-pro";"workwear-industrial";"62";"";"0";"resolved-review";"The fabric is explicitly described as an antistatic ESD workwear shirt fabric with ESD/EN 1149 certification, intended for general industrial protective clothing. No narrower named sector (energy, welding, firefighting) is explicitly and directly supported beyond generic antistatic properties, so it falls under general workwear-industrial per rule 15.";"";"/ariteks/fabrics/arshirt-static-pro/data/fabric-complete-record.json"
"arshirt-moda-pro";"ArShirt Moda Pro";"ArShirt";"arwowear-moda-pro-2";"hivis";"92";"";"0";"resolved-review";"The product is explicitly categorized as a hi-vis warp knit fabric for safety jackets and carries EN ISO 20471 certification, making high-visibility apparel the clearest and most direct commercial use.";"";"/ariteks/fabrics/arshirt-moda-pro/data/fabric-complete-record.json"
"arsuprem";"ArSuprem";"ArSuprem";"arshirt-arsuprem";"workwear-industrial";"55";"";"0";"resolved-review";"The explicit technical parameter states 'Application: Workwear' and the description repeatedly frames the fabric as a durable, colorfast cotton jersey for hard working conditions, i.e., general industrial workwear, despite being grouped under a hi-vis warp knit category that doesn't match this plain vat-dyed jersey's described use as a T-shirt fabric.";"";"/ariteks/fabrics/arsuprem/data/fabric-complete-record.json"
"arsuprem-static-pro";"ArSuprem Static Pro";"ArSuprem";"arwowear-static-pro";"workwear-industrial";"62";"";"0";"resolved-review";"The fabric is explicitly described as an antistatic ESD shirt fabric intended for general industrial protective workwear. Despite being catalogued under a hi-vis category source group, the technical data, application field and descriptions center on antistatic/ESD workwear rather than certified high-visibility warning use (no EN ISO 20471 or fluorescent colour evidence), so the most defensible primary use is general industrial workwear.";"";"/ariteks/fabrics/arsuprem-static-pro/data/fabric-complete-record.json"
"arsuprem-moda-pro";"ArSuprem Moda Pro";"ArSuprem";"arwowear-moda-pro-2";"hivis";"92";"welding";"75";"resolved-review";"The product is explicitly categorized as a hi-vis warp knit fabric for safety jackets and carries EN ISO 20471 certification, making high-visibility apparel the clearest and most direct commercial application.";"Explicit statement that the fabric is used by welders, combined with arc-flash protection certification (EN 61482), independently supports a welding/metal-processing end use beyond the primary hi-vis classification.";"/ariteks/fabrics/arsuprem-moda-pro/data/fabric-complete-record.json"
"arbir";"ArBir";"ArBir";"arbir";"hivis";"96";"";"0";"resolved";"The fabric is explicitly certified to EN ISO 20471 and depicted in high-visibility safety jacket applications, making hivis the clear, dominant, direct end use.";"";"/ariteks/fabrics/arbir/data/fabric-complete-record.json"
"arbir-su-itici";"ArBir Su İtici";"ArBir";"arbir";"hivis";"93";"";"0";"resolved-review";"The fabric is explicitly certified to EN ISO 20471 and depicted on safety jackets, making high-visibility apparel the clear dominant application.";"";"/ariteks/fabrics/arbir-su-itici/data/fabric-complete-record.json"
"arbir-su-itici-su-gecirmez";"ArBir Su İtici/Su Geçirmez";"ArBir";"arbir";"hivis";"90";"";"0";"resolved-review";"Explicit EN ISO 20471 certification, hi-vis property, and application image labeled as a safety jacket strongly support a certified high-visibility warning garment use as the dominant application.";"";"/ariteks/fabrics/arbir-su-itici-su-gecirmez/data/fabric-complete-record.json"
"arbir-200";"ArBir 200";"ArBir";"arbir";"hivis";"96";"";"0";"resolved-review";"The fabric is explicitly certified to EN ISO 20471 and marketed as a high-visibility knit fabric for safety clothing, making hivis the clear primary application.";"";"/ariteks/fabrics/arbir-200/data/fabric-complete-record.json"
"arwowear-t2-soft";"ArWoWear T2 Soft";"ArWoWear";"arwowear-soft";"workwear-industrial";"85";"";"0";"resolved";"This is a generic economical cotton twill workwear fabric explicitly intended for coveralls, with no narrower named sector (military, firefighting, energy, welding, etc.) stated, making general workwear/industrial apparel the most defensible primary application.";"";"/ariteks/fabrics/arwowear-t2-soft/data/fabric-complete-record.json"
"arwowear-t4-soft";"ArWoWear T4 Soft";"ArWoWear";"arwowear-soft";"workwear-industrial";"80";"";"0";"resolved";"The fabric is explicitly positioned as an economical workwear twill for coveralls/uniforms with no narrower sector (military, firefighting, energy, etc.) explicitly stated, matching the general workwear-industrial category.";"";"/ariteks/fabrics/arwowear-t4-soft/data/fabric-complete-record.json"
"arwowear-t5-soft";"ArWoWear T5 Soft";"ArWoWear";"arwowear-soft";"workwear-industrial";"85";"";"0";"resolved";"The product is explicitly framed as an economical general-purpose polyester/cotton twill workwear fabric intended for coveralls, with no narrower named sector (military, firefighting, energy, welding, hivis, medical, motorcycle) stated. This matches the general workwear/industrial apparel category directly.";"";"/ariteks/fabrics/arwowear-t5-soft/data/fabric-complete-record.json"
"arwowear-t6-soft";"ArWoWear T6 Soft";"ArWoWear";"arwowear-soft";"workwear-industrial";"85";"";"0";"resolved";"The fabric is explicitly stated for coveralls (vest/pant) and belongs to an economical workwear twill category, with no narrower named sector referenced, matching general workwear/industrial apparel use.";"";"/ariteks/fabrics/arwowear-t6-soft/data/fabric-complete-record.json"
"arwowear-t7-soft";"ArWoWear T7 Soft";"ArWoWear";"arwowear-soft";"workwear-industrial";"80";"";"0";"resolved";"The fabric is explicitly described as a workwear textile for coveralls, part of an economical twill workwear category, with no narrower sector (military, firefighting, energy, etc.) explicitly stated. This matches general industrial/workwear apparel use.";"";"/ariteks/fabrics/arwowear-t7-soft/data/fabric-complete-record.json"
"arwowear-t11-soft";"ArWoWear T11 Soft";"ArWoWear";"arwowear-soft";"workwear-industrial";"85";"";"0";"resolved";"The fabric is explicitly described as a general workwear twill fabric intended for coveralls, with no narrower named sector (military, firefighting, energy, welding, medical, hivis) stated. This matches the workwear-industrial category directly.";"";"/ariteks/fabrics/arwowear-t11-soft/data/fabric-complete-record.json"
"arwowear-t20-static-pro";"ArWoWear T20 Static Pro Pro";"ArWoWear";"arwowear-static-pro";"workwear-industrial";"70";"";"0";"resolved-review";"The product is explicitly described as a general antistatic coverall/workwear fabric (categorySourceGroup: Antistatic Twill Workwear Fabrics, Application: Coveralls) without a single narrower sector dominating the product's primary commercial framing, so general industrial workwear is the most defensible primary application.";"";"/ariteks/fabrics/arwowear-t20-static-pro/data/fabric-complete-record.json"
"arwowear-t11-static-pro";"ArWoWear T11 Static Pro";"ArWoWear";"arwowear-static-pro";"workwear-industrial";"65";"";"0";"resolved-review";"The fabric is a general antistatic twill workwear material intended for coveralls, explicitly usable across multiple industrial environments (electronics, oil & gas) without one sector being the sole dominant use, matching general industrial protective workwear.";"";"/ariteks/fabrics/arwowear-t11-static-pro/data/fabric-complete-record.json"
"arwowear-t2-static-pro";"ArWoWear T2 Static Pro";"ArWoWear";"arwowear-static-pro";"workwear-industrial";"72";"";"0";"resolved-review";"The product is explicitly a workwear coverall fabric (antistatic twill) with general industrial protective use as its central commercial application; the antistatic property broadens suitability to several industries but the core product category and stated application ('Coveralls') is general industrial workwear.";"";"/ariteks/fabrics/arwowear-t2-static-pro/data/fabric-complete-record.json"
"arwowear-t2-chem-pro";"ArWoWear T2 Chem Pro";"ArWoWear";"arwowear-chem-pro";"workwear-industrial";"90";"";"0";"resolved";"The fabric is explicitly for coveralls and chemical-resistant industrial workwear, with no narrower named sector (e.g. firefighting, welding, energy) stated despite chemical resistance property. This fits general industrial protective workwear.";"";"/ariteks/fabrics/arwowear-t2-chem-pro/data/fabric-complete-record.json"
"arwowear-t4-static-pro";"ArWoWear T4 Static Pro";"ArWoWear";"arwowear-static-pro";"workwear-industrial";"65";"";"0";"resolved-review";"The fabric is explicitly positioned as a general antistatic workwear/coverall fabric (category: Antistatic Twill Workwear Fabrics, Application: Coveralls) suitable across multiple industrial environments, making general industrial workwear the most direct and central commercial use.";"";"/ariteks/fabrics/arwowear-t4-static-pro/data/fabric-complete-record.json"
"arwowear-t21-static-pro";"ArWoWear T21 Static Pro Pro";"ArWoWear";"arwowear-static-pro";"workwear-industrial";"62";"";"0";"resolved-review";"The product is explicitly described as a coverall fabric intended for general industrial and oil-and-gas workwear use, which the taxonomy explicitly lists under workwear-industrial's include criteria. This is the dominant, most direct commercial use even though the antistatic property has additional context.";"";"/ariteks/fabrics/arwowear-t21-static-pro/data/fabric-complete-record.json"
"arwowear-t4-chem-pro";"ArWoWear T4 Chem Pro";"ArWoWear";"arwowear-chem-pro";"workwear-industrial";"85";"";"0";"resolved";"The product is explicitly described as a workwear fabric for coveralls with chemical resistance (EN 13034), aligning with general industrial protective workwear rather than a narrower named sector like welding or energy, since no explicit metallurgy, electrical, or hazard-specific context is stated.";"";"/ariteks/fabrics/arwowear-t4-chem-pro/data/fabric-complete-record.json"
"arwowear-t5-chem-pro";"ArWoWear T5 Chem Pro";"ArWoWear";"arwowear-chem-pro";"workwear-industrial";"90";"";"0";"resolved";"Product is explicitly a chemical-resistant workwear fabric intended for coveralls used in industrial chemical-exposure environments, matching general industrial protective workwear without a narrower named sector being stated.";"";"/ariteks/fabrics/arwowear-t5-chem-pro/data/fabric-complete-record.json"
"arwowear-t7-chem-pro";"ArWoWear T7 Chem Pro";"ArWoWear";"arwowear-chem-pro";"workwear-industrial";"85";"";"0";"resolved";"The fabric is explicitly described as chemical-resistant workwear for coveralls, a general industrial protective apparel use with no narrower sector (e.g., welding, energy) explicitly stated despite the EMI property.";"";"/ariteks/fabrics/arwowear-t7-chem-pro/data/fabric-complete-record.json"
"arwowear-t11-chem-pro";"ArWoWear T11 Chem Pro";"ArWoWear";"arwowear-chem-pro";"workwear-industrial";"88";"";"0";"resolved";"The fabric is explicitly intended for coveralls used as chemical-resistant workwear in industrial environments, matching the general workwear/industrial protective apparel category with no narrower named sector (e.g., welding, firefighting) explicitly stated.";"";"/ariteks/fabrics/arwowear-t11-chem-pro/data/fabric-complete-record.json"
"arwowear-t6-chem-pro";"ArWoWear T6 Chem Pro";"ArWoWear";"arwowear-chem-pro";"workwear-industrial";"88";"";"0";"resolved";"The product is explicitly positioned as a chemical-resistant workwear fabric for coveralls, tested to EN ISO 13034, which fits general industrial protective apparel without a narrower named sector (e.g., firefighting, welding, energy) being explicitly stated.";"";"/ariteks/fabrics/arwowear-t6-chem-pro/data/fabric-complete-record.json"
"arwowear-t1-flame-pro";"ArWoWear T1 Flame Pro";"ArWoWear";"arwowear-flame-pro";"workwear-industrial";"72";"";"0";"resolved-review";"The fabric is explicitly described as generic FR cotton workwear/lining used for coveralls and jackets, with no explicit tie to a narrower sector like firefighting, military, or welding. This matches workwear-industrial per rule 15.";"";"/ariteks/fabrics/arwowear-t1-flame-pro/data/fabric-complete-record.json"
"arwowear-t2-flame-pro";"ArWoWear T2 Flame Pro";"ArWoWear";"arwowear-flame-pro";"welding";"85";"";"0";"resolved-review";"Explicit EN ISO 11611 welding protection certification and molten-metal splash resistance point directly to metalworking/welding as a dominant intended use, alongside general FR workwear positioning.";"";"/ariteks/fabrics/arwowear-t2-flame-pro/data/fabric-complete-record.json"
"arwowear-t13-flame-pro";"ArWoWear T13 Flame Pro";"ArWoWear";"arwowear-flame-pro";"welding";"92";"";"0";"resolved-review";"Explicit EN ISO 11611 welding protection certification, molten-metal resistance, and explicit statement of suitability for shipyard welders make welding the clearest and most direct end use.";"";"/ariteks/fabrics/arwowear-t13-flame-pro/data/fabric-complete-record.json"
"arwowear-t20-flame-pro";"ArWoWear T20 Flame Pro";"ArWoWear";"arwowear-flame-pro";"welding";"85";"";"0";"resolved-review";"Explicit EN ISO 11611 welding protection certification plus molten-metal splash resistance directly indicate welding/metalworking protective clothing use, making this the most specific named sector.";"";"/ariteks/fabrics/arwowear-t20-flame-pro/data/fabric-complete-record.json"
"arwowear-t12-flame-pro";"ArWoWear T12 Flame Pro";"ArWoWear";"arwowear-flame-pro";"welding";"95";"";"0";"resolved-review";"The fabric is explicitly certified to EN ISO 11611 welding protection standard and described as suitable for shipyard welders, directly and specifically supporting welding/metallurgy as the dominant intended use.";"";"/ariteks/fabrics/arwowear-t12-flame-pro/data/fabric-complete-record.json"
"arwowear-t21-flame-pro";"ArWoWear T21 Flame Pro";"ArWoWear";"arwowear-flame-pro";"welding";"88";"";"0";"resolved-review";"The fabric is explicitly certified to EN ISO 11611 for welding protection and lists molten-metal splash resistance, indicating a direct, stated intended use in metalworking/welding protective clothing.";"";"/ariteks/fabrics/arwowear-t21-flame-pro/data/fabric-complete-record.json"
"arwowear-t11-flame-pro";"ArWoWear T11 Flame Pro";"ArWoWear";"arwowear-flame-pro";"workwear-industrial";"62";"welding";"70";"resolved-review";"The product is explicitly framed as a general flame-retardant workwear fabric intended for coveralls, positioned within the broader FR-workwear category rather than a single narrow sector. While it carries welding and arc certifications, the primary commercial framing is general industrial protective workwear.";"The fabric explicitly states 'Welding Protection: Yes' with EN ISO 11611 certification and molten-metal splash resistance, providing direct independent evidence of a welding/metalworking end use beyond generic FR properties.";"/ariteks/fabrics/arwowear-t11-flame-pro/data/fabric-complete-record.json"
"arwowear-t30-flame-pro";"ArWoWear T30 Flame Pro";"ArWoWear";"arwowear-flame-pro";"welding";"85";"";"0";"resolved-review";"Explicit EN ISO 11611 welding protection certification plus molten-metal splash and arc-flash protection make welding/metalworking the most specific and defensible primary application.";"";"/ariteks/fabrics/arwowear-t30-flame-pro/data/fabric-complete-record.json"
"arwowear-t31-flame-pro";"ArWoWear T31 Flame Pro";"ArWoWear";"arwowear-flame-arc-pro";"welding";"90";"energy";"70";"resolved";"Explicit EN ISO 11611 welding protection certification and molten-metal splash resistance make welding/metalworking the most direct and specific stated application.";"Explicit electric-arc protection rating with ATPV value directly supports independent use in electrical/energy sector hazard protection, separate from welding certification.";"/ariteks/fabrics/arwowear-t31-flame-pro/data/fabric-complete-record.json"
"arwowear-t1-flame-arc-pro";"ArWoWear T1 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"workwear-industrial";"72";"";"0";"resolved-review";"The product is explicitly described as a general flame retardant, antistatic workwear fabric intended for shirts, with no narrower named sector (energy, welding, firefighting, military) explicitly stated. This fits the general industrial protective workwear category best.";"";"/ariteks/fabrics/arwowear-t1-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t0-flame-arc-pro";"ArWoWear T0 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"workwear-industrial";"72";"";"0";"resolved-review";"The product is a generic FR/antistatic shirt fabric explicitly marketed for workwear use (categorySourceGroup and 'Flame Retardant Shirt' application), without any explicit narrower sector (firefighting, energy, welding) stated. Per rules 8, 9 and 15, generic FR+antistatic protective clothing without an explicit named sector defaults to workwear-industrial.";"";"/ariteks/fabrics/arwowear-t0-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t2-flame-arc-pro";"ArWoWear T2 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"welding";"85";"energy";"75";"resolved";"The product explicitly states EN ISO 11611 welding protection certification, making metalworking/welding a direct, explicit end use rather than a mere flame-retardant property.";"Explicit electric-arc protection rating (EN 61482) and antistatic carbon fiber construction independently support use in electrical/energy sector hazard protection, beyond generic FR/antistatic claims.";"/ariteks/fabrics/arwowear-t2-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t20-flame-arc-pro";"ArWoWear T20 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"welding";"80";"energy";"70";"resolved";"Explicit EN ISO 11611 welding protection certification directly ties this fabric to welding/metal-processing protective clothing, making it the most specific named end use in the data.";"Explicit electric-arc protection certification (EN 61482) independently supports use in electrical/energy sector protective clothing beyond generic antistatic properties.";"/ariteks/fabrics/arwowear-t20-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t11-flame-arc-pro";"ArWoWear T11 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"energy";"80";"welding";"75";"resolved-review";"The product's naming and dedicated EN 61482 arc-flash certification with ATPV rating indicate the dominant intended use is protection against electrical arc hazards in the energy sector.";"Explicit EN ISO 11611 welding protection certification independently supports a secondary use in metalworking/welding protective clothing.";"/ariteks/fabrics/arwowear-t11-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t21-flame-arc-pro";"ArWoWear T21 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"welding";"85";"energy";"70";"resolved";"Explicit EN ISO 11611 welding protection certification and molten-metal splash resistance directly support welding/metallurgy as the most specific, clearly certified end use.";"Explicit electric-arc thermal hazard protection with EN 61482 certification independently supports electrical/energy-sector protective use beyond generic FR/antistatic properties.";"/ariteks/fabrics/arwowear-t21-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t31-flame-arc-pro";"ArWoWear T31 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"welding";"85";"energy";"70";"resolved";"Explicit EN ISO 11611 welding protection certification directly ties this fabric to welding/metalworking protective clothing, satisfying the taxonomy's requirement for explicit welding/metal-processing use.";"Explicit electric-arc protection with tested ATPV rating (EN 61482) independently supports use in electrical/high-voltage work environments, beyond generic antistatic property, warranting a secondary energy-sector application.";"/ariteks/fabrics/arwowear-t31-flame-arc-pro/data/fabric-complete-record.json"
"arwowear-t30-flame-arc-pro";"ArWoWear T30 Flame Arc Pro";"ArWoWear";"arwowear-flame-arc-pro";"welding";"85";"energy";"80";"resolved";"The fabric is explicitly certified for welding protection under EN ISO 11611 and includes molten-metal splash resistance, directly supporting metalworking/welding use.";"Explicit electric-arc protection certification (EN 61482) with a defined ATPV rating independently supports use in electrical/energy-sector protective clothing.";"/ariteks/fabrics/arwowear-t30-flame-arc-pro/data/fabric-complete-record.json"
"aramid-d2-260";"Aramid D2 260";"Aramid";"aramid";"firefighting";"90";"welding";"75";"resolved";"The product explicitly states firefighter costumes and forest/wildland firefighter certification (EN 15614), making firefighting the most direct and dominant stated end use.";"EN ISO 11611 welding protection is explicitly certified, independently supporting a welding/metal industry application alongside firefighting.";"/ariteks/fabrics/aramid-d2-260/data/fabric-complete-record.json"
"aramid-d0-150";"Aramid D0 150";"Aramid";"aramid";"military";"72";"";"0";"resolved-review";"The product explicitly lists 'military pilot costumes' as a named use and the technical parameter field states 'Application | Pilot Costumes', reinforced by the 'Aramid Flight Suit' application image, making military pilot/flight suit apparel the most specific and directly named end use.";"";"/ariteks/fabrics/aramid-d0-150/data/fabric-complete-record.json"
"aramid-d3-200";"Aramid D3 200";"Aramid";"aramid";"firefighting";"95";"";"0";"resolved-review";"The product explicitly states its application as firefighter costumes/turnout gear and is certified to EN 469, directly identifying firefighting as the dominant end use.";"";"/ariteks/fabrics/aramid-d3-200/data/fabric-complete-record.json"
"arwowear-260-moda-pro";"ArWoWear 260 Moda Pro";"ArWoWear";"arwowear-moda-pro";"welding";"90";"hivis";"80";"resolved";"The product description explicitly states it is used by welders and carries EN ISO 11611 welding protection certification, making welding the most direct and dominant stated end use.";"Explicit EN ISO 20471 certification and hi-vis property independently support high-visibility use as a secondary application, distinct from the welding use.";"/ariteks/fabrics/arwowear-260-moda-pro/data/fabric-complete-record.json"
"aramid-d1-210";"Aramid D1 210";"Aramid";"aramid";"firefighting";"72";"";"0";"resolved-review";"The explicit Application field states 'Firefighters Costumes' and the description directly names wildland firefighters as an intended user group, supported by EN ISO 15614 forest-firefighter certification, making firefighting the most directly stated dominant end use.";"";"/ariteks/fabrics/aramid-d1-210/data/fabric-complete-record.json"
"arwowear-330-moda-pro";"ArWoWear 330 Moda Pro";"ArWoWear";"arwowear-moda-pro";"welding";"90";"hivis";"80";"resolved";"The fabric is explicitly stated to be used by welders and is certified to EN ISO 11611, the dedicated welding protection standard, making welding the most specific and directly supported end use.";"The product is independently certified to EN ISO 20471 and explicitly marketed with high-visibility jacket/trouser imagery, supporting a genuine secondary hivis application.";"/ariteks/fabrics/arwowear-330-moda-pro/data/fabric-complete-record.json"
"arox-t1-static-pro";"Arox T1 Static Pro";"Arox";"arox";"workwear-industrial";"72";"";"0";"resolved-review";"The fabric is an antistatic ESD workwear textile intended for cleanroom/industrial protective garments (coveralls, cloths). No narrower named sector such as energy, medical, or electronics manufacturing is explicitly stated as the dominant commercial use—only generic ESD/cleanroom workwear, which fits general industrial protective apparel best.";"";"/ariteks/fabrics/arox-t1-static-pro/data/fabric-complete-record.json"
"arox-t2-static-pro";"Arox T2 Static Pro";"Arox";"arox";"workwear-industrial";"68";"";"0";"resolved-review";"The product is an antistatic ESD twill fabric intended for cleanroom/electronic industry workwear and coveralls, matching general industrial protective apparel without a narrower named sector (energy, medical) being explicitly stated as the dominant end use.";"";"/ariteks/fabrics/arox-t2-static-pro/data/fabric-complete-record.json"
"arox-t2-wr";"Arox T2 WR";"Arox";"arox";"hivis";"95";"";"0";"resolved";"Explicit EN ISO 20471 certification, hi-vis jacket application, and safety jacket labeling clearly and directly establish high-visibility apparel as the dominant end use.";"";"/ariteks/fabrics/arox-t2-wr/data/fabric-complete-record.json"
"arox-t4-wr-wp";"Arox T4 WR/WP";"Arox";"arox";"hivis";"93";"";"0";"resolved-review";"Fabric is explicitly certified to EN ISO 20471 and marketed for hi-vis safety jackets/raincoats, making high-visibility apparel the clear dominant application.";"";"/ariteks/fabrics/arox-t4-wr-wp/data/fabric-complete-record.json"
"arox-t5-multi";"Arox T5 Multi";"Arox";"arox";"hivis";"93";"";"0";"resolved-review";"Explicitly certified to EN ISO 20471 and marketed as high-visibility safety jacket/raincoat fabric, making hi-vis the clearest and most direct commercial end use.";"";"/ariteks/fabrics/arox-t5-multi/data/fabric-complete-record.json"
"argiyim-290";"ArGiyim 290";"ArGiyim";"argiyim";"hivis";"96";"";"0";"resolved-review";"The fabric is explicitly titled and certified as a high-visibility fabric (EN ISO 20471) intended for safety jackets and trousers, making hi-vis the clear, dominant application.";"";"/ariteks/fabrics/argiyim-290/data/fabric-complete-record.json"
"argiyim-245";"ArGiyim 245";"ArGiyim";"argiyim";"hivis";"95";"";"0";"resolved-review";"Explicit EN ISO 20471 certification and hi-vis property, with product used for safety jackets and trousers, making high-visibility apparel the clear dominant application.";"";"/ariteks/fabrics/argiyim-245/data/fabric-complete-record.json"
"argiyim-245-static-pro";"ArGiyim 245 Static Pro";"ArGiyim";"argiyim";"hivis";"90";"";"0";"resolved-review";"The fabric is explicitly certified to EN ISO 20471 for high-visibility apparel and its stated application field explicitly labels it as a hi-vis garment fabric, making this the most direct and dominant end use.";"";"/ariteks/fabrics/argiyim-245-static-pro/data/fabric-complete-record.json"
"argiyim-bird-eye";"ArGiyim Bird Eye";"ArGiyim";"argiyim";"hivis";"97";"";"0";"resolved";"Explicitly certified to EN ISO 20471 and marketed for hi-vis t-shirts, matching high-visibility apparel directly and dominantly.";"";"/ariteks/fabrics/argiyim-bird-eye/data/fabric-complete-record.json"
"argiyim-sultan";"ArGiyim Sultan";"ArGiyim";"argiyim-knit";"hivis";"90";"";"0";"resolved-review";"The fabric is explicitly certified to EN ISO 20471 and consistently labeled 'High Visible' across title, spec line and technical parameters, with a stated application of 'Hi Vis Pans' for safety jackets and trousers, making high-visibility apparel the clear dominant end use.";"";"/ariteks/fabrics/argiyim-sultan/data/fabric-complete-record.json"
